place_id,place_name,description,category,city,price,rating,time_minutes,lat,long,rating_count
14,Pulau Pelangi,pulau pelangi adalah sebuah pulau yang terletak di kepulauan seribu di daerah khusus ibukota jakarta indonesia pulau pelangi adalah sebuah pulau yang terletak di kepulauan seribu di daerah khusus ibukota jakarta indonesia pulau pelangi biasa disebut pulau petondan besar pelangi island merupakan pulau resort yang sesuai untuk berlibur pulau resort ini mempunyai konsep natural karena sebagian wilayahnya di penuhi dengan rerimbunan pohon yang menyejukan mata keindahan alam dan lautnya layak untuk dikunjungi dikelilingi oleh rimbunan pohon dan laut berwarana biru jernih membuat suasanan sejuk dan nyaman kondisi yang ideal untuk wisata bersama keluarga dengan akomodasi yang langsung menghadap ke laut membuat turis betah berlamalama di pulau pelanginmenurut informasi pulau pelangi atau pulau petondan besar merupakan pulau yang berada pada gugusan kepulauan seribu secara administratif termasuk dalam wilayah kabupaten administratif kepulauan seribu provinsi dki jakarta bersamaan dengan pulau petondan kecil merupakan sebuah resort berlibur letaknya berdekatan dengan gugusan yang sama dengan pulau kelor dan pulau kelapanuntuk mencapai pelangi resort dibutuhkan waktu 90 menit perjalanan dari dermaga pantai mutiara terdapat kapal speedboat khusus di pier r1 pantai mutiara yang membawa penumpang kesana letaknya 60 70 km dari pantai mutiara memang lumayan jauh namun perjalanan anda terbayar lunas begitu sampai di pulau pelangix000d,Bahari,Jakarta,900000,48,,-5.587055,106.5885,18
15,Pasar Seni,pasar seni merupakan pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki didirikan awal tahun 1977 dengan peletakan batu pertama oleh bang ali sadikin gubernur pertama dki jakarta tepatnya pada bulan juli 1977 dan diresmikan oleh gubernur h tjokropanolo pada tanggal 17 desember 1977 sejak diresmikan pasar seni mendapat sambutan positif bagi pada pecinta seni yang ada,Pusat Perbelanjaan,Jakarta,0,44,90.0,-6.1766868,106.8417666,25
16,Jembatan Kota Intan,jembatan kota intan adalah jembatan tertua di indonesia yang dibangun pada tahun 1628 oleh pemerintah vereenigde oostindische compagnie atau voc atau masyarakat kita lebih familiar dengan sebutan kumpeni jembatan itu kini terletak di kali besar kawasan kota tua wilayah jakarta barat dan berada di bawah pengelolaan dinas pariwisata dan kebudayaan provinsi dki jakarta,Budaya,Jakarta,0,43,,-6.1314572,106.8106169,21
17,Museum Fatahillah,museum fatahillah memiliki nama resmi museum sejarah jakarta adalah sebuah museum yang terletak di jalan taman fatahillah no 1 jakarta barat dengan luas lebih dari 1300 meter perseginbangunan ini dahulu merupakan balai kota batavia bahasa belanda stadhuis van batavia yang dibangun pada tahun 17071710 atas perintah gubernurjendral joan van hoorn bangunan ini menyerupai istana dam di amsterdam terdiri atas bangunan utama dengan dua sayap di bagian timur dan barat serta bangunan sanding yang digunakan sebagai kantor ruang pengadilan dan ruangruang bawah tanah yang dipakai sebagai penjara pada tanggal 30 maret 1974 bangunan ini kemudian diresmikan oleh bapak ali sadikin sebagai museum sejarah jakarta,Budaya,Jakarta,5000,44,,-6.136448899999999,106.8130661,28
18,Museum Bank Indonesia,museum bank indonesia adalah sebuah museum di jakarta indonesia yang terletak di jl pintu besar utara no3 jakarta barat depan stasiun beos kota dengan menempati area bekas gedung bank indonesia kota yang merupakan cagar budaya peninggalan de javasche bank yang beraliran neoklasikal dipadu dengan pengaruh lokal dan dibangun pertama kali pada tahun 1828npada tahun 1625 di tempat ini pernah dibangun sebuah gereja sederhana untuk umat protestan pada tahun 1628 gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara sultan agung menyerang batavia untuk pertama kalimuseum ini menyajikan informasi peran bank indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di nusantara hingga terbentuknya bank indonesia pada tahun 1953 dan kebijakankebijakan bank indonesia meliputi pula latar belakang dan dampak kebijakan bank indonesia bagi masyarakat sampai dengan tahun 2005 penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media seperti display elektronik panel statik televisi plasma dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati museum bank indonesia selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya bank indonesia seperti pada masa kerajaankerajaan nusantara antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menariknperesmian museum bank indonesia dilakukan melalui dua tahap yaitu peresmian tahap i dan mulai dibuka untuk masyarakat soft opening pada tanggal 15 desember 2006 oleh gubernur bank indonesia saat itu burhanuddin abdullah dan peresmian tahap ii grand opening oleh presiden ri susilo bambang yudhoyono pada tanggal 21 juli 2009nmuseum bank indonesia buka setiap hari kecuali senin dan hari libur nasional,Budaya,Jakarta,2000,47,,-6.137127,106.813005,21
19,Kidzania,kidzania adalah sebuah waralaba swasta meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi yang memungkinkan anakanak melakukan pekerjaan orang dewasa dan mendapat bayaran kidzania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia,Taman Hiburan,Jakarta,185000,46,300.0,-6.225073499999999,106.8097144,21
20,Museum Taman Prasasti,museum taman prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial belanda yang berada di jalan tanah abang no 1 jakarta pusat museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di indonesia beserta koleksi kereta jenazah antik museum seluas 12 ha ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung pemahat kaligrafer dan sastrawan yang menyatux000d,Budaya,Jakarta,2000,45,90.0,-6.172224099999998,106.8189695,18
21,Museum Wayang,museum wayang adalah sebuah museum yang berlokasi di jalan pintu besar utara nomor 27 jakarta barat,Budaya,Jakarta,5000,45,150.0,-6.1349072,106.8124452,25
22,Masjid Istiqlal,masjid istiqlal arti harfiah masjid merdeka adalah masjid nasional negara republik indonesia yang terletak di bekas taman wilhelmina di timur laut lapangan medan merdeka yang di tengahnya berdiri monumen nasional monas di pusat ibukota jakarta masjid ini merupakan salah satu dari 10 masjid terbesar kapasitasnya di dunia yang dapat menampung lebih dari 200000 jamaah di seberang timur masjid ini berdiri gereja katedral jakarta ketua harian badan pengelola masjid istiqlal bpmi sekaligus imam besar masjid istiqlal adalah prof dr nasaruddin umar ma pembangunan masjid ini diprakarsai oleh presiden republik indonesia saat itu ir soekarno peletakan batu pertama sebagai tanda dimulainya pembangunan masjid istiqlal dilakukan oleh ir soekarno pada tanggal 24 agustus 1961 arsitek masjid istiqlal adalah frederich silaban seorang nasranimasjid ini memiliki gaya arsitektur modern dengan dinding dan lantai berlapis marmer dihiasi ornamen geometrik dari baja antikarat bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar menara tunggal setinggi total 9666 meter menjulang di sudut selatan selasar masjid masjid ini mampu menampung lebih dari 200000 jamaahselain digunakan sebagai aktivitas ibadah umat islam masjid ini juga digunakan sebagai kantor berbagai organisasi islam di indonesia aktivitas sosial dan kegiatan umum masjid ini juga menjadi salah satu daya tarik wisata yang terkenal di jakarta kebanyakan wisatawan yang berkunjung umumnya wisatawan domestik di samping sebagian wisatawan asing yang beragama islam masyarakat nonmuslim juga dapat berkunjung ke masjid ini setelah sebelumnya mendapat pembekalan informasi mengenai islam dan masjid istiqlal meskipun bagian yang boleh dikunjungi kaum nonmuslim terbatas dan harus didampingi pemandunpada tiap hari besar islam seperti ramadhan idul fitri idul adha tahun baru hijriyah maulid nabi muhammad serta isra dan miraj presiden republik indonesia selalu mengadakan kegiatan keagamaan di masjid ini yang disiarkan secara langsung melalui televisi nasional tvri dan sebagian televisi swasta,Tempat Ibadah,Jakarta,0,47,,-6.17017,106.83139,21
23,Gereja Katedral,gereja katedral jakarta atau bernama resmi gereja santa maria diangkat ke surga bahasa jerman de kerk van onze lieve vrouwe ten hemelopneming bahasa inggris the church of our lady of the assumption adalah sebuah gereja di jakarta gedung gereja ini diresmikan pada 1901 dan dibangun dengan arsitektur neogotik dari eropa yakni arsitektur yang sangat lazim digunakan untuk membangun gedung gereja beberapa abad yang lalu,Tempat Ibadah,Jakarta,0,48,,-6.169225000000001,106.833063,23
24,Museum Nasional,museum nasional republik indonesia atau museum gajah adalah sebuah museum arkeologi sejarah etnografi dan geografi yang terletak di jakarta pusat dan persisnya di jalan merdeka barat 12 museum ini merupakan museum pertama dan terbesar di asia tenggara,Budaya,Jakarta,5000,46,,-6.176402099999999,106.8215901,25
25,Pasar Tanah Abang,pasar tanah abang atau pasar sabtu dibangun oleh yustinus vinck pada 30 agustus 1735 yustinus vinck mendirikan pasar tanah abang pasar atas izin dari gubernur jenderal abraham patramini izin yang diberikan saat itu untuk pasar tanah abang adalah untuk berjualan tekstil serta barang kelontong dan hanya buka setiap hari sabtu oleh karena itu pasar ini disebut pasar sabtu pasar ini mampu menyaingi pasar senen welter vreden yang sudah lebih dulu majunpada tahun 1740 terjadi peristiwa geger pecinan yaitu pembantaian orangorang tionghoa perusakan harta benda termasuk pasar tanah abang diporakporandakan dan dibakar pada tahun 1881 pasar tanah abang kembali dibangun dan yang tadinya dibuka pada hari sabtu ditambah hari rabu sehingga pasar tanah abang dibuka 2 kali seminggu bangunan pasar pada mulanya sangat sederhanaterdiri dari dinding bambu dan papan serta atap rumbia dari 229 papan dan 139 petak bambu pasar tanah abang terus mengalami perbaikan hingga akhir abad ke19 dan bagian lantainya mulai dikeraskan dengan pondasi adukan pada tahun 1913 pasar tanah abang kembali diperbaiki pada tahun 1926 pemerintah batavia membongkar pasar tanah abang dan diganti bangunan permanen berupa tiga los panjang dari tembok dan papan serta beratap genteng dengan kantor pasarnya berada di atas bangunan pasar mirip kandang burung pelataran parkir di depan pasar menjadi tempat parkir kudakuda penarik delman dan gerobak di situ tersedia kobakan air yang cukup besar dan di seberang jalan ada toko yang khusus menjual dedak makanan kuda beberapa puluh meter dari toko dedak ada sebuah gang yang dikenal sebagai gang madat tempat lokalisasi para pemadatnpada zaman pendudukan jepang pasar ini hampir tidak berfungsi dan menjadi tempat para gelandangannpasar tanah abang semakin berkembang setelah dibangunnya stasiun tanah abang di tempat tersebut mulai dibangun tempattempat seperti masjid al makmur dan klenteng hok tek tjen sien yang keduanya seusia dengan pasar tanah abang pada tahun 1973 pasar tanah abang diremajakan diganti dengan 4 bangunan berlantai empat dan sudah mengalami dua kali kebakaran pertama tanggal 30 desember 1978 blok a di lantai tiga dan kedua menimpa blok b tanggal 13 agustus 1979 pada tahun 1975 tercatat kiosnya ada 4351 buah dengan 3016 pedagang,Pusat Perbelanjaan,Jakarta,0,4,45.0,-6.189009599999999,106.8119312,26
26,Pecinan Glodok,kawasan glodok yang dikenal sebagai pusat perdagangan elektronik sendiri dulunya merupakan bekas penjara glodok yang angker lokasi ini berada di seberang glodokpancoran di kawasan harco sebelum terjadi kerusuhan mei 1998 kawasan ini sempat menjadi pusat belanja elektronik bagi wisatawan jepang taiwan dan hongkong di pinangsia masyarakat bisa menemukan produk perlengkapan rumah tangga dan bangunan selain wisata belanja pecinan glodokpancoran juga merupakan situs sejarah awal mula kota jakarta setelah etnis tionghoa bermukim dan membangun bisnis serta perkebunan tebu batavia mulai berkembang pesat,Pusat Perbelanjaan,Jakarta,0,43,20.0,-6.142758799999999,106.8140791,24
27,Sea World,seaworld indonesia adalah sebuah miniatur pesona laut yang terdapat dalam kompleks wisata pertama di taman impian jaya ancolnpada tanggal 2 oktober 1992 gubernur dki masa itu wiyogo atmodarminto meletakkan batu pertama pembangunan seaworld indonesia tidak sampai dua tahun pada tanggal 3 juni 1994 seaworld indonesia sudah mulai beroperasi area seaworld seluas 3 hektare dengan luas bangunan utama 4500 m2 berisi berbagai macam akuarium lorong antasena lorong bawah air perpustakaan museum terapi ikan dokter glow theatre komputer edukatif layar sentuh berisi informasi berbagai spesies di seaworld dan bermacam fasilitas pelengkap untuk pengunjung seperti tempat makan toko suvenir dan ruang serba guna,Taman Hiburan,Jakarta,115000,45,180.0,-6.126477500000001,106.842963,24
28,Wisata Agro Edukatif Istana Susu Cibugary,kawasan wisata agro edukatif istana susu cibugary cibubur garden dairy merupakan suatu kawasan agro peternakan sapi perah bernuansa kebun dan taman wisata edukasi cibubur garden dairy cibugary merupakan salah wisata edukasi yang diminati siswa sekolah edukasi pengenalan peternakan sapi memberikan pengalaman yang tidak dapat dilupakan oleh siswa sekolah kegiatan edukasi yang tidak terlalu banyak dan menyenangkan ini sangat disukai siswa sekolah dengan berwisata edukasi ini dapat menambah ilmu dan pengalaman secara langsung bagi siswa sekolah paket wisata edukatif istana susu cibugary dihargai antara rp 35000 sampai rp 65000 per orang harga tersebut sudah termasuk beberapa botol susu pasteurisasi dan goodybag cibugary,Taman Hiburan,Jakarta,35000,45,,-6.3568093,106.9062371,18
29,Wisata Kuliner Pecenongan,pecenongan merupakan salah satu surga kuliner di jakarta pusat yang dikenal sejak zaman jakarta masih bernama kota batavia dulunya di kawasan ini terdapat pedagang kaki lima yang menjajakan kuliner di pinggir jalan tetapi tahun demi tahun kawasan pecenongan semakin ramai dengan adanya rumah makanrumah makan yang mulai dibangun kawasan pecenongan ini cocok bagi kalian yang ingin berwisata kuliner dimalam hari beragam jenis kuliner yang pastinya membuat kamu kebingungan ingin mencoba yang mana terlebih dahulu tak heran jika orang yang sudah pernah mencoba pergi kulineran ke sini pasti akan kembali lagix000d,Pusat Perbelanjaan,Jakarta,0,5,,-6.166788700000001,106.8265261,33
30,Taman Menteng,taman menteng adalah sebuah taman yang berlokasi di kawasan menteng jakarta pusat taman ini dulunya ditempati oleh stadion mentengntaman ini berdiri di atas lahan seluas 29 hektar dan memiliki koleksi 30 spesies tanaman yang berbeda taman menteng juga memiliki beragam fasilitas pendukung seperti taman bermain untuk anakanak serta lapangan futsal dan basket uniknya di taman ini terdapat pula 44 sumur resapan untuk membantu penyerapan air hujan ke dalam tanahx000d,Taman Hiburan,Jakarta,0,45,,-6.1964087,106.8293106,22
31,Wisata Alam Mangrove Angke,jangan anggap di jakarta tidak ada wisata alam langsung meluncur ke jakarta utara tepatnya di kamal muara penjaringan atau pantai indah kapuk di daerah ini terdapat area wisata alam yaitu taman wisata mangrove jakarta yang sekarang dan beberapa tahun belakangan tengah hits di kawasan ini terdapat tiga area satu berupa suaka margasatwa muara angke yang tertutup untuk umum hutan mangrove milik pemprov dki tetapi kurang begitu menarik untuk wisata selanjutnya taman wisata alam mangrove angke yang memang merupakan area wisata berbasis konservasi mangrovex000d,Cagar Alam,Jakarta,25000,43,,-6.105334,106.735584,16
32,Setu Babakan,setu babakan atau danau babakan terletak di srengseng sawah kecamatan jagakarsa kotamadya jakarta selatan indonesia dekat depok yang berfungsi sebagai pusat perkampungan budaya betawi suatu area yang diperuntukkan untuk pelestarian warisan budaya jakarta yaitu budaya asli betawinperkampungan budaya betawi ini didirikan pada tanggal 18 agustus 2000 melalui surat keputusan gubernur dki nomor 92 tahun 2000 yang dikeluarkan oleh gubernur dki jakarta pada waktu itu yaitu sutiyosonsitu babakan merupakan danau buatan dengan area 30 hektare 79 akre dengan kedalaman 15 meter dimana airnya berasal dari sungai ciliwung dan saat ini digunakan sebagai tempat wisata alternatif bagi warga dan para pengunjungntaman disekitarnya ditanami dengan beragam pohon buahbuahan yaitu mangga palem melinjo rambutan jambu pandan kecapi jamblang krendang guni nangka cimpedak namnam dan jengkolnbanyak kuliner khas betawi terdapat disini antara lain kerak telor toge goreng arum manis rujak bebek soto betawi es potong es duren bir pletok nasi uduk nasi ulam lontong sayur dllnwisata budaya yang disajikan antara laim rumahrumah khas betawi yang dibagi menjadi 3 macam pertama rumah betawi gudang atau kandang kedua rumah betawi kebaya atau bapang dan yang ketiga adalah rumah joglo hampir serupa dengan rumah khas yogyakartankeseniannya berupa lenong tari topeng tanjidor marawis gambang kromong tari lenggang nyai dan tari narojengnupacara adat yang ada di perkampungan betawi setu babakan adalah penganten sunat pindah rumah khatam quran dan nujuh bulannmayoritas penduduk di setu babakan adalah betawi dengan program dari pemda dki untuk memperbaiki sarana dan prasarana yang ada untuk mengakomodasi kebutuhan ruang terbuka hijau serta area untuk resapan air setu babakan berbenah diri dengan dukungan penuh dari pemda dkinfungsi dari setu ini bukan hanya untuk tempat melestarikan kebudayaan betawi yang makin tergerus oleh zaman tetapi digunakan juga sebagai tempat alternatif rekreasi yang berlokasi di selatan jakarta selain fungsi utamanya sebagai penampung air resapan untuk selatan jakarta,Budaya,Jakarta,0,44,,-6.341666699999999,106.8238889,15
33,Taman Suropati,taman suropati awalnya bernama burgemeester bisschopplein adalah nama sebuah taman di jakarta pada awalnya nama taman ini diambil dari nama wali kota batavia pertama gj bisshop 19161920 taman ini merupakan pusat kawasan menteng berada tepat di antara pertemuan tiga jalan utama yaitu menteng boulevard jalan teuku umar orange boulevard jalan diponegoro dan nassau boulevard jalan imam bonjol lapangan yang kini disebut sebagai taman suropati ini sejak tahun 1920 sudah menggantikan lapangan bundar yang luas dalam rencana moojen taman suropati yang disebutsebut sebagai titik nol republik indonesia menjadi taman yang rindang dan sejak beberapa tahun yang lalu dihiasi dengan patungpatung karya pematung dari negaranegara pendiri perhimpunan bangsabangsa asia tenggara,Taman Hiburan,Jakarta,0,46,,-6.1994034,106.8326228,26
34,Pasar Taman Puring,taman puring bukanlah taman secara harfiah sejak eksis di tahun 1960 silam taman puring adalah sebuah pasar selama bertahuntahun pasar ini sempat menjadi pasar gelap alias pasar barangbarang ilegal antara tahun 19801990an pasar ini makin dijauhi masyarakat karena menjadi sentra barangbarang hasil tindakan kriminal sejak terbakar pada 2002 pasar taman puring perlahan berbenah diri hingga sekarang menjadi destinasi belanja akhir pekan favorit warga jakarta ada ratusan kios sepatu pria mulai dari sepatu kulit sepatu gunung sepatu futsal hingga sepatu gaul khas anak muda beragam merk mulai dari adidas caterpillar nike karrimor vans hingga converse tersedia dalam berbagai model dan warna,Pusat Perbelanjaan,Jakarta,0,44,60.0,-6.241368999999999,106.7890587,23
35,Grand Indonesia Mall,grand indonesia merupakan mal di jakarta mal ini dibuka pada tahun 2007 oleh presiden susilo bambang yudhoyono pada tahun 2007 hotel indonesia mengalami pemugaran selanjutnya setelah dibuka kembali hotel dikelola oleh grup kempinski dan namanya diganti menjadi hotel indonesiakempinski,Pusat Perbelanjaan,Jakarta,0,47,120.0,-6.195180099999999,106.8204412,27
36,Skyrink - Mall Taman Anggrek,salah satu arena ice skating jakarta adalah ice skating taman anggrek area ice skating di taman anggrek dibuat seluas 1248 meter persegi ice skating termegah di indonesia adalah di taman anggrek tidak hanya termegah di indonesia tetapi juga termegah di asiamaka dari itu tidak mengherankan bahwa banyak sekali pengunjung yang datang,Taman Hiburan,Jakarta,110000,45,180.0,-6.178996,106.791941,29
37,Bumi Perkemahan Cibubur,bumi perkemahan dan graha wisata pramuka cibubur buperta cibubur adalah kawasan perkemahan yang terdapat di cibubur ciracas jakarta timur kawasan ini memiliki luas 210 hektar dan sudah berkalikali menjadi lokasi pelaksanaan jambore nasional sejak tahun 1973 buperta cibubur dibangun di kawasan yang sebelumnya merupakan hutan karet pihak pengelola juga bekerja sama dengan tni ad dan tni au dalam pengelolaan buperta cibuburbuperta cibubur dapat diakses dari terminal kampung rambutan dengan angkutan umum jurusan kranggan atau mekarsari jonggolx000d,Taman Hiburan,Jakarta,10000,45,,-6.360248700000001,106.893842,27
38,Istana Negara Republik Indonesia,istana negara merupakan pusat kegiatan pemerintahan negara banyak kegiatankegiatan bersifat kenegaraan digelar di istana negara seperti kegiatan pelantikan pejabatpejabat penting negara maupun pembukaan kongres bersifat nasional dan internasional istana negara fungsinya lebih difokuskan kepada kegiatan resmi kepresidenan yaitu sebagai kantor presiden republik indonesia dilansir situs sekretaris negara sesneg istana negara awalnya sebagai kediaman pribadi warga belanda ja van braam,Budaya,Jakarta,0,46,,-6.168069000000001,106.8239727,26
39,Museum Macan (Modern and Contemporary Art in Nusantara),museum seni modern dan kontemporer di nusantara atau museum macan adalah sebuah museum seni di kebon jeruk di jakarta indonesia museum ini merupakan yang pertama di indonesia yang memiliki koleksi seni modern dan kontemporer indonesia dan internasional,Budaya,Jakarta,100000,45,120.0,-6.190942,106.767622,26
40,Galeri Nasional Indonesia,galeri nasional indonesia bahasa inggris national gallery of indonesia adalah sebuah lembaga budaya negara atau sebagai museum seni rupa modern dan kontemporer di sini terdapat gedung yang berfungsi antara lain sebagai tempat pameran dan perhelatan seni rupa indonesia dan mancanegara gedung ini merupakan institusi milik pemerintah di bawah menteri pendidikan dan kebudayaan fungsi galeri nasional indonesia adalah melaksanakan pengkajian pengumpulan registrasi perawatan pengamanan pameran kemitraan layanan edukasi dan publikasi karya seni rupa lalu fungsi utamanya adalah melindungi pengembangan dan pemanfaatan asset kesenian seni rupa sebagai fasilitas pendidikan dan kebudayaan galeri nasional beralamat di jalan medan merdeka timur no 14 jakarta pusatx000d,Budaya,Jakarta,0,46,,-6.178548200000001,106.8327716,21
41,Museum Bahari Jakarta,museum bahari adalah museum yang menyimpan koleksi yang berhubungan dengan kebaharian dan kenelayanan bangsa indonesia dari sabang hingga merauke yang berlokasi di seberang pelabuhan sunda kelapa museum adalah salah satu dari delapan museum yang berada di bawah pengawasan dari dinas kebudayaan permuseuman provinsi daerah khusus ibu kota jakarta,Budaya,Jakarta,2000,44,120.0,-6.1269553,106.8085899,26
42,Museum Seni Rupa dan Kramik,museum seni rupa dan keramik indonesia museum seni rupa dan keramik adalah sebuah museum di jakarta indonesia museum ini didedikasikan khusus untuk menampilkan seni rupa tradisional dan keramik indonesia museum ini terletak di sisi timur lapangan fatahillah dekat museum sejarah jakarta dan museum wayang,Budaya,Jakarta,5000,44,,-6.1342598,106.814552,27
